,fecha,delito,conteo
0,2015-01-01,Corrupción de menores,104.0
1,2015-01-01,Extorsión,5.0
2,2015-01-01,Feminicidio,5.0
3,2015-01-01,Homicidio culposo,121.0
4,2015-01-01,Homicidio doloso,51.0
5,2015-01-01,Lesiones culposas,459.0
6,2015-01-01,Lesiones dolosas,784.0
7,2015-01-01,Otros delitos contra la sociedad,3.0
8,2015-01-01,Otros delitos que atentan contra la libertad personal,228.0
9,2015-01-01,Otros delitos que atentan contra la vida y la integridad corporal,49.0
10,2015-01-01,Rapto,13.0
11,2015-01-01,Secuestro,11.0
12,2015-01-01,Tráfico de menores,6.0
13,2015-01-01,Trata de personas,14.0
14,2016-01-01,Corrupción de menores,111.0
15,2016-01-01,Extorsión,5.0
16,2016-01-01,Feminicidio,6.0
17,2016-01-01,Homicidio culposo,127.0
18,2016-01-01,Homicidio doloso,77.0
19,2016-01-01,Lesiones culposas,345.0
20,2016-01-01,Lesiones dolosas,545.0
21,2016-01-01,Otros delitos contra la sociedad,5.0
22,2016-01-01,Otros delitos que atentan contra la libertad personal,265.0
23,2016-01-01,Otros delitos que atentan contra la vida y la integridad corporal,40.0
24,2016-01-01,Rapto,13.0
25,2016-01-01,Secuestro,8.0
26,2016-01-01,Tráfico de menores,2.0
27,2016-01-01,Trata de personas,12.0
28,2017-01-01,Corrupción de menores,97.0
29,2017-01-01,Extorsión,6.0
30,2017-01-01,Feminicidio,3.0
31,2017-01-01,Homicidio culposo,143.0
32,2017-01-01,Homicidio doloso,76.0
33,2017-01-01,Lesiones culposas,274.0
34,2017-01-01,Lesiones dolosas,840.0
35,2017-01-01,Otros delitos contra la sociedad,84.0
36,2017-01-01,Otros delitos que atentan contra la libertad personal,320.0
37,2017-01-01,Otros delitos que atentan contra la vida y la integridad corporal,67.0
38,2017-01-01,Rapto,15.0
39,2017-01-01,Secuestro,12.0
40,2017-01-01,Tráfico de menores,34.0
41,2017-01-01,Trata de personas,15.0
42,2018-01-01,Corrupción de menores,102.0
43,2018-01-01,Extorsión,5.0
44,2018-01-01,Feminicidio,5.0
45,2018-01-01,Homicidio culposo,135.0
46,2018-01-01,Homicidio doloso,114.0
47,2018-01-01,Lesiones culposas,290.0
48,2018-01-01,Lesiones dolosas,678.0
49,2018-01-01,Otros delitos contra la sociedad,43.0
50,2018-01-01,Otros delitos que atentan contra la libertad personal,385.0
51,2018-01-01,Otros delitos que atentan contra la vida y la integridad corporal,83.0
52,2018-01-01,Rapto,13.0
53,2018-01-01,Secuestro,10.0
54,2018-01-01,Tráfico de menores,1.0
55,2018-01-01,Trata de personas,10.0
56,2019-01-01,Corrupción de menores,113.0
57,2019-01-01,Extorsión,6.0
58,2019-01-01,Feminicidio,8.0
59,2019-01-01,Homicidio culposo,117.0
60,2019-01-01,Homicidio doloso,102.0
61,2019-01-01,Lesiones culposas,304.0
62,2019-01-01,Lesiones dolosas,753.0
63,2019-01-01,Otros delitos contra la sociedad,59.0
64,2019-01-01,Otros delitos que atentan contra la libertad personal,423.0
65,2019-01-01,Otros delitos que atentan contra la vida y la integridad corporal,93.0
66,2019-01-01,Rapto,4.0
67,2019-01-01,Secuestro,21.0
68,2019-01-01,Tráfico de menores,1.0
69,2019-01-01,Trata de personas,14.0
70,2020-01-01,Corrupción de menores,134.0
71,2020-01-01,Extorsión,11.0
72,2020-01-01,Feminicidio,14.0
73,2020-01-01,Homicidio culposo,101.0
74,2020-01-01,Homicidio doloso,102.0
75,2020-01-01,Lesiones culposas,303.0
76,2020-01-01,Lesiones dolosas,679.0
77,2020-01-01,Otros delitos contra la sociedad,76.0
78,2020-01-01,Otros delitos que atentan contra la libertad personal,514.0
79,2020-01-01,Otros delitos que atentan contra la vida y la integridad corporal,139.0
80,2020-01-01,Rapto,12.0
81,2020-01-01,Secuestro,9.0
82,2020-01-01,Tráfico de menores,2.0
83,2020-01-01,Trata de personas,16.0
84,2021-01-01,Corrupción de menores,113.0
85,2021-01-01,Extorsión,17.0
86,2021-01-01,Feminicidio,3.0
87,2021-01-01,Homicidio culposo,109.0
88,2021-01-01,Homicidio doloso,81.0
89,2021-01-01,Lesiones culposas,303.0
90,2021-01-01,Lesiones dolosas,613.0
91,2021-01-01,Otros delitos contra la sociedad,20.0
92,2021-01-01,Otros delitos que atentan contra la libertad personal,427.0
93,2021-01-01,Otros delitos que atentan contra la vida y la integridad corporal,130.0
94,2021-01-01,Rapto,5.0
95,2021-01-01,Secuestro,2.0
96,2021-01-01,Tráfico de menores,4.0
97,2021-01-01,Trata de personas,16.0
98,2022-01-01,Corrupción de menores,145.0
99,2022-01-01,Extorsión,11.0
100,2022-01-01,Feminicidio,6.0
101,2022-01-01,Homicidio culposo,121.0
102,2022-01-01,Homicidio doloso,88.0
103,2022-01-01,Lesiones culposas,387.0
104,2022-01-01,Lesiones dolosas,714.0
105,2022-01-01,Otros delitos contra la sociedad,8.0
106,2022-01-01,Otros delitos que atentan contra la libertad personal,523.0
107,2022-01-01,Otros delitos que atentan contra la vida y la integridad corporal,130.0
108,2022-01-01,Rapto,4.0
109,2022-01-01,Secuestro,6.0
110,2022-01-01,Tráfico de menores,0.0
111,2022-01-01,Trata de personas,17.0
112,2023-01-01,Corrupción de menores,145.0
113,2023-01-01,Extorsión,21.0
114,2023-01-01,Feminicidio,7.0
115,2023-01-01,Homicidio culposo,115.0
116,2023-01-01,Homicidio doloso,79.0
117,2023-01-01,Lesiones culposas,554.0
118,2023-01-01,Lesiones dolosas,895.0
119,2023-01-01,Otros delitos contra la sociedad,16.0
120,2023-01-01,Otros delitos que atentan contra la libertad personal,792.0
121,2023-01-01,Otros delitos que atentan contra la vida y la integridad corporal,172.0
122,2023-01-01,Rapto,2.0
123,2023-01-01,Secuestro,2.0
124,2023-01-01,Tráfico de menores,0.0
125,2023-01-01,Trata de personas,40.0
126,2024-01-01,Corrupción de menores,144.0
127,2024-01-01,Extorsión,28.0
128,2024-01-01,Feminicidio,7.0
129,2024-01-01,Homicidio culposo,89.0
130,2024-01-01,Homicidio doloso,74.0
131,2024-01-01,Lesiones culposas,514.0
132,2024-01-01,Lesiones dolosas,927.0
133,2024-01-01,Otros delitos contra la sociedad,24.0
134,2024-01-01,Otros delitos que atentan contra la libertad personal,740.0
135,2024-01-01,Otros delitos que atentan contra la vida y la integridad corporal,163.0
136,2024-01-01,Rapto,12.0
137,2024-01-01,Secuestro,6.0
138,2024-01-01,Tráfico de menores,0.0
139,2024-01-01,Trata de personas,33.0
140,2025-01-01,Corrupción de menores,204.0
141,2025-01-01,Extorsión,21.0
142,2025-01-01,Feminicidio,6.0
143,2025-01-01,Homicidio culposo,122.0
144,2025-01-01,Homicidio doloso,68.0
145,2025-01-01,Lesiones culposas,509.0
146,2025-01-01,Lesiones dolosas,869.0
147,2025-01-01,Otros delitos contra la sociedad,20.0
148,2025-01-01,Otros delitos que atentan contra la libertad personal,640.0
149,2025-01-01,Otros delitos que atentan contra la vida y la integridad corporal,157.0
150,2025-01-01,Rapto,6.0
151,2025-01-01,Secuestro,3.0
152,2025-01-01,Tráfico de menores,0.0
153,2025-01-01,Trata de personas,22.0
154,2015-02-01,Corrupción de menores,109.0
155,2015-02-01,Extorsión,12.0
156,2015-02-01,Feminicidio,6.0
157,2015-02-01,Homicidio culposo,143.0
158,2015-02-01,Homicidio doloso,72.0
159,2015-02-01,Lesiones culposas,454.0
160,2015-02-01,Lesiones dolosas,794.0
161,2015-02-01,Otros delitos contra la sociedad,4.0
162,2015-02-01,Otros delitos que atentan contra la libertad personal,205.0
163,2015-02-01,Otros delitos que atentan contra la vida y la integridad corporal,52.0
164,2015-02-01,Rapto,23.0
165,2015-02-01,Secuestro,14.0
166,2015-02-01,Tráfico de menores,8.0
167,2015-02-01,Trata de personas,11.0
168,2016-02-01,Corrupción de menores,120.0
169,2016-02-01,Extorsión,6.0
170,2016-02-01,Feminicidio,5.0
171,2016-02-01,Homicidio culposo,127.0
172,2016-02-01,Homicidio doloso,50.0
173,2016-02-01,Lesiones culposas,384.0
174,2016-02-01,Lesiones dolosas,689.0
175,2016-02-01,Otros delitos contra la sociedad,1.0
176,2016-02-01,Otros delitos que atentan contra la libertad personal,235.0
177,2016-02-01,Otros delitos que atentan contra la vida y la integridad corporal,61.0
178,2016-02-01,Rapto,18.0
179,2016-02-01,Secuestro,15.0
180,2016-02-01,Tráfico de menores,9.0
181,2016-02-01,Trata de personas,23.0
182,2017-02-01,Corrupción de menores,131.0
183,2017-02-01,Extorsión,8.0
184,2017-02-01,Feminicidio,8.0
185,2017-02-01,Homicidio culposo,137.0
186,2017-02-01,Homicidio doloso,78.0
187,2017-02-01,Lesiones culposas,294.0
188,2017-02-01,Lesiones dolosas,826.0
189,2017-02-01,Otros delitos contra la sociedad,29.0
190,2017-02-01,Otros delitos que atentan contra la libertad personal,201.0
191,2017-02-01,Otros delitos que atentan contra la vida y la integridad corporal,57.0
192,2017-02-01,Rapto,15.0
193,2017-02-01,Secuestro,15.0
194,2017-02-01,Tráfico de menores,16.0
195,2017-02-01,Trata de personas,5.0
196,2018-02-01,Corrupción de menores,109.0
197,2018-02-01,Extorsión,12.0
198,2018-02-01,Feminicidio,8.0
199,2018-02-01,Homicidio culposo,145.0
200,2018-02-01,Homicidio doloso,89.0
201,2018-02-01,Lesiones culposas,326.0
202,2018-02-01,Lesiones dolosas,779.0
203,2018-02-01,Otros delitos contra la sociedad,34.0
204,2018-02-01,Otros delitos que atentan contra la libertad personal,327.0
205,2018-02-01,Otros delitos que atentan contra la vida y la integridad corporal,87.0
206,2018-02-01,Rapto,7.0
207,2018-02-01,Secuestro,16.0
208,2018-02-01,Tráfico de menores,0.0
209,2018-02-01,Trata de personas,16.0
210,2019-02-01,Corrupción de menores,167.0
211,2019-02-01,Extorsión,10.0
212,2019-02-01,Feminicidio,12.0
213,2019-02-01,Homicidio culposo,104.0
214,2019-02-01,Homicidio doloso,100.0
215,2019-02-01,Lesiones culposas,304.0
216,2019-02-01,Lesiones dolosas,829.0
217,2019-02-01,Otros delitos contra la sociedad,51.0
